#{"t_start": 1776916360.9957356, "env_id": "None"}
r,l,t
58.807646,23,12587.251392
100.0,1,12589.502774
51.127459,23,12614.90942
100.0,1,12617.15966
86.238243,23,12642.53152
100.0,1,12644.782712
58.912502,23,12670.14003
100.0,1,12672.390502
58.124644,23,12697.789837
100.0,1,12700.059811
-100.0,1,12702.310051
100.0,1,12704.561484
70.016209,23,12730.47286
100.0,1,12732.719301
67.356388,23,12758.069411
100.0,1,12760.340647
83.604426,23,12785.639585
100.0,1,12787.844828
111.279467,23,12813.25979
100.0,1,12815.515118
8.667585,23,12840.873158
100.0,1,12843.075757
56.869157,23,12868.479795
100.0,1,12870.735097
47.055269,23,12896.089251
100.0,1,12898.343836
75.328289,23,12923.809588
100.0,1,12926.062989
22.316768,23,12951.469514
100.0,1,12953.721362
178.879856,22,12978.034395
67.349496,23,13003.449824
100.0,1,13005.699758
67.97198,23,13031.560127
100.0,1,13033.810329
83.550737,23,13059.161809
100.0,1,13061.4805
164.220499,18,13081.530045
56.317711,23,13106.891192
100.0,1,13109.144207
106.979978,23,13134.416353
100.0,1,13136.760349
73.273804,23,13162.169578
100.0,1,13164.420112
104.39947,23,13189.789679
-100.0,1,13192.04513
86.080927,23,13217.359878
100.0,1,13219.610475
94.689613,23,13244.970332
100.0,1,13247.219682
76.386664,23,13272.690744
100.0,1,13274.940552
70.809853,23,13300.189533
100.0,1,13302.510257
52.362182,23,13328.35996
100.0,1,13330.609615
60.592532,23,13356.029781
100.0,1,13358.279839
53.30989,23,13383.759636
100.0,1,13385.96433
43.588737,23,13411.330389
100.0,1,13413.580688
66.035655,23,13438.909474
100.0,1,13441.159777
89.140875,23,13466.489765
100.0,1,13468.739347
23.575203,23,13494.072026
100.0,1,13496.320045
42.93439,23,13521.689762
100.0,1,13523.940942
38.808056,23,13549.319973
100.0,1,13551.569214
41.601766,23,13577.000032
100.0,1,13579.252889
58.562711,23,13605.22981
100.0,1,13607.482273
20.27087,23,13632.820239
100.0,1,13635.069368
42.277851,23,13660.519603
100.0,1,13662.850394
86.894885,23,13688.153632
100.0,1,13690.399735
57.416596,23,13715.790743
100.0,1,13718.04092
73.442046,23,13743.47048
100.0,1,13745.720496
64.347763,23,13771.112963
100.0,1,13773.360173
76.167537,23,13798.751693
100.0,1,13801.002672
66.36819,23,13826.439899
100.0,1,13828.67996
168.616079,23,13853.970047
73.167794,23,13879.310543
100.0,1,13881.562644
28.225841,23,13907.49982
100.0,1,13909.749566
68.818821,23,13935.190039
100.0,1,13937.442463
20.522989,23,13962.879833
100.0,1,13965.131285
106.280232,23,13990.47988
100.0,1,13992.732464
59.252615,23,14018.119831
100.0,1,14020.470098
68.724826,23,14045.909309
100.0,1,14048.15996
-2.246699,23,14073.501265
100.0,1,14075.750238
73.685624,23,14101.129594
100.0,1,14103.380662
-9.173818,23,14128.78441
100.0,1,14131.029677
44.128533,23,14156.470055
100.0,1,14158.719138
62.665361,23,14184.151645
100.0,1,14186.399808
70.819262,23,14212.331968
100.0,1,14214.579668
70.452741,23,14239.969781
100.0,1,14242.219381
94.190672,23,14267.659909
100.0,1,14269.910102
164.124926,18,14290.014688
87.662624,23,14315.440085
100.0,1,14317.689269
96.451521,23,14343.070584
100.0,1,14345.319971
87.867278,23,14370.700147
100.0,1,14372.952781
73.531962,23,14398.380465
100.0,1,14400.632281
-12.343702,23,14426.021436
100.0,1,14428.269124
97.941255,23,14453.594149
100.0,1,14455.842702
107.969438,23,14481.271047
100.0,1,14483.521785
81.551416,23,14509.44949
100.0,1,14511.699334
80.152586,23,14537.030822
100.0,1,14539.280077
168.822507,23,14564.549371
113.967485,23,14589.848986
100.0,1,14592.099446
68.232083,23,14617.480425
100.0,1,14619.73095
83.531661,23,14645.161652
100.0,1,14647.411476
72.34259,23,14672.789253
100.0,1,14674.992499
115.619043,23,14700.349821
100.0,1,14702.600434
179.462636,22,14726.9799
69.57506,23,14752.359157
100.0,1,14754.609754
-100.0,1,14756.86047
100.0,1,14759.064961
107.0012,23,14784.989483
100.0,1,14787.243779
27.490393,23,14812.649847
100.0,1,14814.900073
70.917613,23,14840.3196
100.0,1,14842.572246
72.752821,23,14867.950868
100.0,1,14870.19982
66.165933,23,14895.619982
100.0,1,14897.870016
71.025837,23,14923.219231
100.0,1,14925.630372
-18.505335,23,14950.979556
100.0,1,14953.229451
86.913305,23,14978.649406
100.0,1,14980.900921
66.43626,23,15006.320368
